"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Team Japan","Team Japan",,,"0","TNA"
"Team Mexico","Team Mexico",,,"0","TNA"
"Team UK","Team UK",,,"0","TNA"
"Team USA","Team USA",,,"0","TNA"
"Teddy Hart","Teddy Hart",,,"0","TNA"
"Teo","Teo",,,"0","TNA"
"Terry Funk","Terry Funk","1944","2023","1","TNA"
"Terry Taylor","Terry Taylor",,,"0","TNA"
"Tiger Mask IV","Tiger Mask IV",,,"0","TNA"
"Tito Ortiz","Tito Ortiz",,,"0","TNA"
"TNA Dancers","TNA Dancers",,,"0","TNA"
"Todd Stone","Todd Stone",,,"0","TNA"
"Tomko","Tomko",,,"0","TNA"
"Tony Mamaluke","Tony Mamaluke",,,"0","TNA"
"Traci Brooks","Traci Brooks",,,"0","TNA"
"Trinity (Stephanie Finochio)","Trinity (Stephanie Finochio)",,,"0","TNA"
"Trytan","Trytan",,,"0","TNA"
"Tyson Dux","Tyson Dux",,,"0","TNA"
"Vampire Warrior","Vampire Warrior",,,"0","TNA"
"Vampiro","Vampiro",,,"0","TNA"
"Velvet Sky","Velvet Sky",,,"0","TNA"
"Vince Russo","Vince Russo",,,"0","TNA"
"Zach Gowen","Zach Gowen",,,"0","TNA"
"Too Cold Scorpio","Too Cold Scorpio",,,"0","WCW"
"Akira Hokuto","Akira Hokuto",,,"0","WCW"
"Al Green","Al Green","1955","2013","1","WCW"
"Alex Wright","Alex Wright",,,"0","WCW"
"Antonio Inoki","Antonio Inoki","1943","2022","1","WCW"
"The Armstrong Brothers","Armstrong Brothers",,,"0","WCW"
"Arn Anderson","Arn Anderson",,,"0","WCW"
"Asya","Asya",,,"0","WCW"
"Bam Bam Bigelow","Bam Bam Bigelow","1961","2007","1","WCW"
"The Barbarian","Barbarian",,,"0","WCW"
"Barry Darsow","Barry Darsow",,,"0","WCW"
"Barry Horowitz","Barry Horowitz",,,"0","WCW"
"Barry Windham","Barry Windham",,,"0","WCW"
"Ray Traylor","Ray Traylor","1963","2004","1","WCW"
"Big Daddy Dink","Big Daddy Dink",,,"0","WCW"
"Big Josh","Big Josh","1957","2013","1","WCW"
"Vader","Vader","1955","2018","1","WCW"
"Big Vito","Big Vito",,,"0","WCW"
"Bill Irwin","Bill Irwin",,,"0","WCW"
"Bill Kazmaier","Bill Kazmaier",,,"0","WCW"
"Billy Kidman","Billy Kidman",,,"0","WCW"
"Black Blood","Black Blood",,,"0","WCW"
"Black Cat","Black Cat","1954","2006","1","WCW"
"The Black Scorpion","Black Scorpion",,,"0","WCW"
"Blitzkrieg","Blitzkrieg",,,"0","WCW"
"Bobby Blaze","Bobby Blaze",,,"0","WCW"
"Bobby Duncum Jr.","Bobby Duncum Jr.","1965","2000","1","WCW"
"Bobby Eaton","Bobby Eaton","1958","2021","1","WCW"
"Bobby Walker","Bobby Walker",,,"0","WCW"
"Booker T","Booker T",,,"0","WCW"
